epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,18570.1,0.69515,0.54511,1.14252,0.77504,0.7224,0.80275,0.50336,0.93071,0.61967,1.25872,8.39104e-05,8.39104e-05,8.39104e-05
179,18669.6,0.70106,0.59064,1.16445,0.7811,0.70161,0.80934,0.50309,0.91748,0.60328,1.24691,7.8528e-05,7.8528e-05,7.8528e-05
180,18768.6,0.72816,0.59855,1.1701,0.79432,0.70161,0.80136,0.50074,0.92626,0.60689,1.25961,7.33755e-05,7.33755e-05,7.33755e-05
181,18864.3,0.69274,0.57386,1.17162,0.79261,0.70968,0.81205,0.49661,0.93958,0.61567,1.27346,6.8454e-05,6.8454e-05,6.8454e-05
182,18960.4,0.73191,0.60975,1.19665,0.79102,0.70161,0.81238,0.50002,0.94513,0.62095,1.27792,6.37649e-05,6.37649e-05,6.37649e-05
183,19057.1,0.71032,0.56894,1.15877,0.79407,0.71774,0.81416,0.50145,0.94714,0.62069,1.27997,5.93093e-05,5.93093e-05,5.93093e-05
184,19153.5,0.70428,0.59227,1.15282,0.78379,0.70161,0.80951,0.50101,0.9485,0.61317,1.28018,5.50882e-05,5.50882e-05,5.50882e-05
185,19250.3,0.75208,0.62126,1.18641,0.7964,0.69401,0.81135,0.50145,0.93766,0.61504,1.26682,5.11027e-05,5.11027e-05,5.11027e-05
186,19345.4,0.68658,0.55071,1.15354,0.8064,0.69355,0.81432,0.5012,0.93965,0.62176,1.26661,4.73538e-05,4.73538e-05,4.73538e-05
187,19440.5,0.67804,0.57998,1.12649,0.79706,0.69684,0.81794,0.50282,0.93777,0.63142,1.26426,4.38424e-05,4.38424e-05,4.38424e-05
188,19535.7,0.69719,0.5664,1.14771,0.79295,0.70161,0.81976,0.50577,0.93218,0.62403,1.26129,4.05694e-05,4.05694e-05,4.05694e-05
189,19631.6,0.67344,0.57039,1.14775,0.78518,0.70161,0.81446,0.50318,0.93022,0.61678,1.26182,3.75356e-05,3.75356e-05,3.75356e-05
190,19726.3,0.72483,0.59602,1.17924,0.80197,0.70161,0.81462,0.49951,0.93148,0.61554,1.26422,3.47418e-05,3.47418e-05,3.47418e-05
191,19833.3,0.81819,0.6704,1.30477,0.76251,0.72581,0.8061,0.49542,0.93186,0.63442,1.26769,3.21885e-05,3.21885e-05,3.21885e-05
192,19929.7,0.74289,0.6089,1.29003,0.79564,0.69076,0.81187,0.49248,0.92922,0.63499,1.26001,2.98766e-05,2.98766e-05,2.98766e-05
193,20027.3,0.79321,0.66083,1.31784,0.79384,0.70968,0.81707,0.49295,0.92416,0.62739,1.25674,2.78064e-05,2.78064e-05,2.78064e-05
194,20122.6,0.77037,0.68142,1.26891,0.79564,0.72218,0.8052,0.49607,0.9245,0.62447,1.26001,2.59787e-05,2.59787e-05,2.59787e-05
195,20221.2,0.70586,0.79556,1.22842,0.78594,0.72581,0.8168,0.49885,0.94098,0.63147,1.27967,2.43937e-05,2.43937e-05,2.43937e-05
196,20318.3,0.78829,0.68154,1.29026,0.8029,0.73387,0.8351,0.5013,0.94595,0.63491,1.2903,2.30518e-05,2.30518e-05,2.30518e-05
197,20415.3,0.74025,0.58999,1.27615,0.81125,0.72581,0.82602,0.49881,0.9358,0.63531,1.27694,2.19535e-05,2.19535e-05,2.19535e-05
198,20513,0.80369,0.68896,1.34724,0.81033,0.71774,0.82118,0.49767,0.93403,0.63511,1.27307,2.1099e-05,2.1099e-05,2.1099e-05
199,20607.5,0.73654,0.57596,1.26199,0.80384,0.70968,0.8078,0.49567,0.93688,0.63569,1.2755,2.04885e-05,2.04885e-05,2.04885e-05
200,20704.9,0.7346,0.63485,1.27229,0.79701,0.70161,0.80589,0.49595,0.94482,0.6379,1.28356,2.01221e-05,2.01221e-05,2.01221e-05
